"","cleanName","MW","r2_line","nPoints","LOD","LOQ","quantType","dilution_factor","n_timepoints","0A","0B","0C","2A","2B","2C","4A","4B","4C","6A","6B","6C","8A","8B","8C","10A","10B","10C","12A","12B","12C","14A","14B","14C","16A","16B","16C","18A","18B","18C","20A","20B","20C","22A","22B","22C","24A","24B","24C","26A","26B","26C","28A","28B","28C","30A","30B","30C","32A","32B","32C","34A","34B","34C","36A","36B","36C","38A","38B","38C","40A","40B","40C","42A","42B","42C","44A","44B","44C","46A","46B","46C"
"1","(6R)-5-6-7-8-tetrahydrobiopterin",314.17,0.991476079045295,6,34.9219858137103,105.824199435486,"MQ","original",15,0,0,0,0,0,0,0.00875479027200305,0,0.0567676703125253,0,0.0467346495986263,0.00742239463155671,0,0,0,0,0,0,0,0,0,0,0,0,0.00575213086692644,0,0.010779608876726,0,0,0,0.0284981129172366,0,0.00678002562362251,0,0,0,0,0.0042865443737036,0.0049743447325844,0,0.00633103095647699,0.00990859294365894,0.00516902672013156,0.00578327435624796,0,0,0,0,0,0.0034709180475727,0.00694534503015036,0,0.00674649820068382,0.0108451231152914,0.0101821667791409,0.00203493913340205,0.00679910464859141,0.00962495532255523,0.00178857340484682,0.00567278004836484,0.0066336584061375,0.00882880517316188,0.0035791706684761,0,0.00273655980249309,0.00423394924653739,0.00230567520161069,0,0.00364178866526601,0.00298506609914465,0.0032293458540046,0
"2","3-methyl-2-oxobutanoic acid",138.1,0.996791556627532,7,1.80447186204378,5.46809655164782,"MQ","original",21,0.00311214138386908,0.000959841599062795,0.00198131079565516,0,0,0,0,0.000983562179879555,0.0012565925561435,0,0,0,0.000966575253895057,0,0.000933391945974549,0.00237367706096539,0.00216378224721885,0.00215729938216178,0.000868758183254674,0.00272217707350329,0.00125959540697548,0.00188495038133939,0.00211180216898199,0.00227825740086446,0.000505805783496709,0.00054781469627775,0.00207334789487083,0.00332842172895634,0.000736234423434917,0.00252279690209561,0.0017668834822871,0.00067015333613148,0.00103542522065839,0.00139364544996447,0.000746868404583236,0.00084555565223947,0,0,0,0.000462854840516892,0,0.000605319813046506,0.000942560893895365,0,0.00124444374065347,0.00193605461619645,0.00103828237256374,0.000797222486141049,0.0013098689401433,0.00057402825851826,0,0.000912451424655708,0.00429070851610959,0.0025390565625884,0.000656934026519403,0.00148143248488034,0.0012798983936654,0.00116537363134505,0.00184274969102479,0.00141088986156925,0.000803752785677969,0.00114736363432933,0.00125725072077181,0.00156567528800899,0.00157866302021338,0.000892268670669634,0.00104666039015683,0.00195186208351696,0.00314787867200287,0.00104566127692956,0.00181916799695017,0.00163912157758997
"3","4-hydroxybenzoic acid",138.12,0.998866482032652,4,0.201369682081321,0.610211157822185,"MQ","original",21,0.00101073489530933,0.000305128924038038,0.000392167557402318,0.00026483091562831,0.00010549791198904,0.000110723928525004,0.000308805313356327,0.000636127223077316,0.000573122650419368,0.000216624571281351,0.000230834409878914,0.000287050160921415,0.000596377916085529,0.000448602004881154,0.000564533329861297,0.000302126210076252,0.000689343037816236,0.000309331615583364,0.000105068150119697,0.00050673783644022,0.000102982491612366,0,0,0,0.000105519875174386,0,8.53726544699076e-05,0,0,0,0.000124407940332403,0,0.000164108986648019,0,0,0,0.000133508879293696,4.62668007052007e-05,0,0.000163730853277183,0.000126077745167769,0,0,0.000168393286430965,0.000171786384337205,0.000232241283891508,0.000306532130840777,0,0.000122728602188867,0.000253833436440724,0.000162332961646382,0.000348726449681409,0.0006029213529225,0.000527782441006543,0.000112819703644052,0.000246034037561988,0.000235127389950709,0.000143877407755053,0.000179917784772663,0.000145995236290384,0.000101138816788959,9.87290750478953e-05,4.98329871698117e-05,0.000115230160104792,0,3.96151383083376e-05,8.00107058685657e-05,0,0.000155591631352918,0,7.64858328278581e-05,6.08839342649245e-05
"4","5'-methylthioadenosine",297.33,0.996150100661098,6,2.38742093662869,7.23460889887482,"MQ","original",24,0,0.000656309295825818,0.000934643171126834,0.000705092625730098,0.000699046134943035,0.00046736140823419,0.000871172404843731,0.000854258844516898,0.000909721134177049,0.000679258347195456,0.000839342945324581,0.000920577952418737,0.000867820197805794,0.000693740128258246,0.00149914099416295,0.000560101093489273,0.000719834078163918,0.00087255815456973,0,0.000731940494328969,0.00056178640863314,0.00060257987799548,0.000516344351007094,0.000615642740524026,0.000288626040548024,0.000475688997361984,0.000533128742680841,0.000944856560289347,0.000680945080423434,0.000784689738223383,0.00050005368408453,0.000328011814872299,0.000417691288288947,0.000734322546276348,0.000651746418356976,0.000715516548234369,0.000785049400327027,0.000705758133309214,0.000776376464515354,0.000689475024481249,0.000913806730131038,0.000817061906192785,0.000862665762048129,0.000854314698066813,0.000897680396431579,0.000896995098671906,0.00117678504853792,0.000828050137637224,0.0010647876651442,0.000550770786181703,0.00086120980082556,0.000708187269486115,0.00173700588726546,0.000740309173984165,0.000434806394996568,0.000573709138503499,0.000242621312164532,0.000421252563801568,0.000781168466250711,0.00043541291406314,0.000390128501718273,0.000542076234118868,0.000427927253439898,0.000665246193825494,0.00046980126100401,0.000383114523286517,0.000208314398763427,0.00027420802268898,0.000612790552276566,0.00103500941816094,0.000611312355715856,0.00084066715303141
"5","S-(5'-adenosyl)-L-homocysteine",384.41,0.994828985142145,5,1.68373690280263,5.10223303879584,"MQ","original",24,0,0.000496383018240461,0.000519341030057002,0.00075866944201563,0.000496332666302611,0.000996204493581525,0.000915143077611663,0.000594270918838773,0.00067502909919274,0.000817599948409707,0.000566401890597366,0.000593951328077055,0.000783736860017921,0.000747796251075181,0.000808879386709515,0.000679965106929281,0.000851190356513343,0.000536966178120028,0.000551671228382827,0.000522337280985673,0.000587032552721241,0.000467880320432481,0.000456988449335269,0.000528267940854016,0.000380136552355251,0.00049264471624712,0.00077403295032732,0.000649483841232211,0.000653898692575546,0.000704622675746608,0.00070758707596369,0.000412517737930747,0.000302674397979948,0.000435552707549548,0.000466097601006308,0.000549209573842121,0.00109851489649532,0.000449491692677503,0.000456287947463684,0.00105634088192689,0.00111851007109391,0.000841705698798914,0.0010761570582985,0.00082639064824347,0.000754156723041589,0.000647149400761659,0.000848855115691314,0.000917658651757704,0.00117474000912636,0.000790187781134056,0.000610961782447318,0.000845608591738113,0.00125020568263227,0.00137361410479359,0.000464911320666147,0.000390763919310086,0.000134352360513693,0.00033073691507805,0.000545402142008929,0.00066257576239947,0.000421263611049182,0.000379514055041214,0.000499928485966175,0.000452597241443858,0.000327700633620837,0.000430172375549957,0.000133741926110871,0.000408554210961872,0.00054005509631587,0.00061294752627753,0.000298657025928325,0.000587417153243641
"6","S-adenosyl-L-methionine",526.35,0.954517832641744,6,40.469532765185,122.634947773288,"MQ","df10x",24,0,0.00755516492657852,0.0164856155037511,0.00733784945309606,0.00813289326797531,0.00837186057455904,0.00797015296701395,0.0107449382987751,0.0149030054853318,0.010855832825971,0.0174096830155577,0.0112196969997473,0.0066534509173471,0.00955262616885796,0.0227516020953396,0.00902991807367199,0.0130811433971038,0.0117739821436045,0,0.00962225649736383,0.00904594234689286,0.00805106088258842,0.00654351391353302,0.00703495761228809,0.00324978782530793,0.00389894412763799,0.00999470577112587,0.0260734121308547,0.0100321295740378,0.00668001920065942,0.00939688613139245,0.0026466119567648,0.00316963878632229,0.0218001142495514,0.00544619908454805,0.00580309766793168,0.0138864522877493,0.0114744280240228,0.00914916930017334,0.00973749670883971,0.00985325947600097,0.0085405722518777,0.0128295904597997,0.00710184666406711,0.0171806042701048,0.0109205122801343,0.0098285976648089,0.0092716498605933,0.0109547102639642,0.00815347411190896,0.00806939785761132,0.00777257893690751,0.024935142650826,0.0105762171099212,0.00451308178988276,0.00944944916620684,0.00347772175086638,0.00496522264588925,0.00890140126791957,0.00594192856654051,0.00566519682046131,0.00810295619514587,0.00490575980372445,0.008512854546234,0.00554030263374181,0.00370913370058229,0.00233221690034358,0.0135358739500156,0.00782093940663649,0.0192141109742458,0.0111858199413172,0.0241543139532986
"7","UDP-glucose",610.27,0.994904185641789,5,16.780470028305,50.8499091766817,"MQ","original",21,0,0.00251034157875315,0.00510259705139933,0,0.00421369688923606,0.00736344065468416,0,0.00201936871408012,0.00327710414845817,0.00757112983859722,0.00491385201103375,0.00441205754634068,0.00302490852489803,0.0067591846874672,0.00461123492072745,0.00454562753514161,0.00247315952341586,0.005108829798001,0,0,0,0,0,0,0,0.00130809293901983,0.00326677718222324,0.0031091021673861,0.00224132812222494,0.00374856871150948,0.00218265748886938,0.000943843469247224,0.00179717878328929,0,0,0,0,0.00298159699050435,0.00273734853547175,0.00779060957287481,0.00578878219167906,0.00879664219813471,0.00173110390592791,0.00330387191788348,0.00286912217473747,0.00366393657211762,0.00195562799833991,0.00260875963011374,0.00516025124423076,0.00450642353211872,0.00358369965590411,0.00305889950765231,0.00132984506211062,0.00450183139334997,0.00112286159552921,0.000777173814632966,0,0.0010810590936433,0,0.00177890619096067,0.00169559138286478,0.000862584423606519,0.00180993432373723,0.000921653205764774,0.000870171804568414,0,0.000440315885701289,0,0.00131018802240036,0.00130125722661688,0.00101838487928474,0.00104759997957565
"8","adenine",135.13,0.974485231736213,6,2.98750571498809,9.05304762117602,"MQ","original",18,0,0,0,0,0,0,0,0,0,0.0014664476956299,0.00117813517817817,0,0,0.0012972923863869,0.00187148060845113,0.00147127229257627,0,0.00132633847802085,0,0,0,0,0,0,0,0,0,0.00206366739851811,0.00133935147091315,0.00216472218308009,0.000807426531165508,0,0.00148624374316392,0.00125590457597097,0.00129645982274082,0,0.000684767059970188,0.000981765865773192,0.00121082193244297,0.00167394856372008,0.00271337758248982,0.00204643896906201,0,0.0017996039162851,0.00180365181172442,0.00125840181750343,0.00120040382794145,0,0.0024815878309805,0.00241770254999347,0.00201363204345079,0,0.00117448099932366,0.00274013463871524,0.000634916105571474,0.000859010104249908,0.000764859770255496,0.00192444510406547,0.000547191330626926,0.000594936192935442,0.00175623715924071,0.00170313082160801,0.00158556329515551,0.0016308793121872,0.0017230367166571,0.00048547291432864,0.000550214670534935,0.000690462233652907,0.000721417315284915,0.00147964214528059,0.00112142976927977,0.000676243394631314
"9","adenosine 5'-monophosphate",391.18,0.99173276805267,5,21.0549810340287,63.80297283039,"MQ","df10x",24,0,0.0214089115448894,0.0244223350309122,0.0197967887323062,0,0.0240388195777198,0.0227110800630079,0.0282760100184055,0.0447195627926851,0.0232216445896293,0.0219934890270171,0.0151346526149107,0.0158108553272513,0.0246329181440364,0.0208624452129012,0.00946152796188861,0.0137574057014165,0.0168459594933005,0.00849274309747867,0.0144102921644336,0.011362403387653,0.0117428207825474,0.00841415893700185,0.00697681838197765,0.00451108186804534,0.0100399616734986,0.0151899491408217,0.0254094604206267,0.0250537673720138,0.0115974713652986,0,0.00918405518859773,0.0109167284464926,0.0425324360149869,0.0262681800766153,0.0217079623974331,0.0428924798160093,0,0.0233844009049878,0.0455588414070549,0.0758504131980609,0.05300538075363,0.031021523239904,0.0659872015011145,0.0288445419912801,0.023659229309769,0.0196928249167788,0,0.100145170792331,0.0330083705071658,0.0198589229782373,0.0230989474753988,0.0215897365978081,0.0322635608569238,0.0135155139851058,0,0.00466776566921978,0.0215357429354584,0.00794387973170541,0,0.0172932813815535,0.0179564611387365,0.0278661385966211,0.0120897208878186,0.0162615956943726,0.0160148967077968,0.00556620098706769,0.0165840162805676,0.0237053132648777,0.0435416680838874,0.0311885084389746,0.0361605110416078
"10","alanine/beta-alanine/sarcosine",89.0477,0.993583473156185,9,9.1957338952768,27.8658602887176,"MQ","original",13,0,0,0,0,0,0,0,0,0,0.0291072265940055,0,0.0150083717245475,0.0250308355316104,0.0282189811480359,0,0,0,0,0.025209013028496,0.0237695179002692,0.0105062749511241,0,0,0,0.0206937573917911,0.0150147856496386,0,0,0.0199152600375235,0.0274273478680388,0,0.0159236523322819,0.0252324325523851,0,0,0,0.0134888128074809,0,0.0181338124750922,0.0238561361300339,0,0.0201656373088785,0.011436818127259,0.0242229298657986,0,0.0108893096366853,0.0130968205770394,0.0227906786909986,0.0302636197336762,0.0124057059538482,0,0,0,0,0,0,0,0,0,0,0.00294058510735262,0,0.0116318701939673,0,0,0,0.00413076553421624,0.0106290967079387,0.0052327375762194,0,0,0
