"mtabName","T0_mean","T0_sd","T2_mean","T2_sd","T4_mean","T4_sd","T6_mean","T6_sd","T8_mean","T8_sd","T10_mean","T10_sd","T12_mean","T12_sd","T14_mean","T14_sd","T16_mean","T16_sd","T18_mean","T18_sd","T20_mean","T20_sd","T22_mean","T22_sd","T24_mean","T24_sd","T26_mean","T26_sd","T28_mean","T28_sd","T30_mean","T30_sd","T32_mean","T32_sd","T34_mean","T34_sd","T36_mean","T36_sd","T38_mean","T38_sd","T40_mean","T40_sd","T42_mean","T42_sd","T44_mean","T44_sd","T46_mean","T46_sd"
"3-methyl-2-oxobutanoic acid",0.00201776459286235,0.00107661286004646,0,0,0.000746718245341017,0.000660929270069485,0,0,0.000633322399956536,0.000548724183626133,0.00223158623011534,0.000123096953835501,0.00161684355457781,0.000976990314643179,0.00209166998372861,0.0001974248757483,0.00104232279154843,0.000893140951893366,0.00219581768482896,0.00132666699405685,0.00115748734635899,0.00055846094336985,0.000995356502262391,0.000348439890954969,0,0,0.000356058217854466,0.000316476157041474,0.000729001544849612,0.000649126915623236,0.00125718649163375,0.000600144911767976,0.000627965732887186,0.000656598125525808,0.00258073883445124,0.00168951422096127,0.00113942163502171,0.000429825216511511,0.00147300439464636,0.000342933292305303,0.00106945571359304,0.000236574147718395,0.00134553565963067,0.000392594438012441,0.00204880038189222,0.00105395794140939,0.0015013169504899,0.000404747758384035
"4-hydroxybenzoic acid",0.000569343792249895,0.000384725240034363,0.000160350918714118,9.05200537372838e-05,0.00050601839561767,0.000173672519142256,0.000244836380693893,3.72422113879576e-05,0.00053650441694266,7.77730348682701e-05,0.000433600287825284,0.000221509018093691,0.000238262826057428,0.000232508517893179,0,0,6.36308432147644e-05,5.60191108613408e-05,0,0,9.6172308993474e-05,8.5620546789254e-05,0,0,5.99252266662991e-05,6.77943188059723e-05,9.66028661483176e-05,8.57526935356968e-05,0.00011339322358939,9.82160661263999e-05,0.000179591138244095,0.000159904706581661,0.000179631666758657,6.72424961610796e-05,0.000493143414536817,0.00013058965818362,0.000197993710385583,7.39641623276698e-05,0.000156596809606034,2.02242975519096e-05,8.32336263355554e-05,2.89508848970945e-05,5.16150994710433e-05,5.85448268455364e-05,7.85341124071612e-05,7.78063248261558e-05,4.57899223642609e-05,4.04152514811648e-05
"MTA",0.000530317488984217,0.000479890524887619,0.000623833389635774,0.000135542431494764,0.000878384127845893,2.84257472211648e-05,0.000813059748312925,0.000122787999414215,0.001020233773409,0.000423780677026606,0.00071749777540764,0.000156241631736505,0.00043124230098737,0.000383034652271053,0.0005781889898422,5.39558069983522e-05,0.00043248126019695,0.000127849811305118,0.000803497126312055,0.000132957157333828,0.000415252262415258,8.60468641260041e-05,0.000700528504289231,4.3280311014538e-05,0.000755727999383865,4.34919025858522e-05,0.000806781220268358,0.000112518655863121,0.00087155361884884,2.3008508155646e-05,0.000967276761615684,0.000184685255583212,0.00082558941738382,0.000258853137419635,0.00106183411024525,0.000584936450010272,0.000417045615221533,0.000166256943196753,0.000545944648038473,0.000203832804942287,0.000453377329759013,7.91063090651261e-05,0.00050605399270534,0.000144517352927373,0.000365104324576324,0.000217018070590429,0.000828996308969402,0.000212089501465745
"NAD",0.0144453412739323,0.012771934559621,0.0112734715863855,0.00985091072528134,0.0257281745600497,0.0035007910344893,0.0266175667248324,0.000941976488220767,0.0458146858652836,0.00529448228474461,0.0378495636276359,0.000488852350482868,0.0395944091834592,0.00913454707515733,0.0397223321845206,0.00328450896131228,0.0276342627968081,0.00114820787318495,0.0474598688001092,0.00464622236800586,0.0202712609922807,0.00365547660104759,0.0126701765858403,0.0110219880673761,0.0244085312050904,0.00660211422173865,0.0380483194095501,0.0117635061791151,0.0234385149092011,0.00267582841357175,0.0228898770248941,0.00150641959233923,0.0393920373243127,0.00369402877917502,0.0814888586459847,0.0283304974820088,0.0288020460707846,0.0127770159216099,0.0358650892665976,0.00595632540542417,0.0355340528410941,0.00493431892699648,0.0324372652034782,0.00707730986767457,0.0195135995094208,0.00832933220764905,0.0246037043802869,0.0046037307464057
"NADP",0.00240824259400111,0.00212525708732351,0.00287802515905355,0.000766022242753373,0.00471889303985518,0.00179211842099707,0.00314860033367919,0.00227784291096381,0.00773695497405677,0.00445124328195529,0.00489481827419167,0.000318123245269071,0,0,0.00406319815720738,0.00118638108375431,0.00287340178131902,0.00115993779130817,0.0085449130329341,0.00259628099889823,0.00278229665928495,0.00127817292448777,0.00390778242228043,0.00267055727254327,0.00485899776701278,2.69713840708145e-05,0.00836741394940569,0.00121412156254307,0.00886075522432499,0.000327989970826254,0.00521222955601846,0.000775918990738404,0.0089134093811471,0.00142471276216061,0.0135939383584574,0.00553673257964721,0.00500063279370121,0.00260125838089604,0.00445712649328165,0.00111361376645473,0.00636323328325637,0.00139831299286343,0.00478392817236903,0.00249985731681688,0.00394226128503572,0.00193346928026395,0.00673755230743525,0.00192052182043494
"T_90to30",0,0,0,0,0,0,0.0147051994395177,0.0145559814191453,0.0177499388932154,0.0154543300130593,0,0,0.0198282686266298,0.00810510401664733,0,0,0.0119028476804766,0.0106921006911884,0.0157808693018541,0.01417338148908,0.0137186949615557,0.0127599095170266,0,0,0.010540875094191,0.00941947669945256,0.0146739244796375,0.0128412612352843,0.0118865826643525,0.0121177266401322,0.0155922696349078,0.00633096326336314,0.0142231085625082,0.0152134441868899,0,0,0,0,0,0,0.00485748510043999,0.00604822124594911,0,0,0.00666419993945813,0.00347762711972836,0,0
"T_90to62",0,0,0.231549709098102,0.210721494427979,0.271909757418869,0.249499168775166,0.6004085239743,0.571749887088401,0.606065236192448,0.558667175409583,0.505072929473014,0.496632132713798,0.652244638822556,0.571502932966321,0.506341646751109,0.455020777434958,0.442954022724933,0.413243117815521,0.555241333450675,0.480880569493305,0.504211784230829,0.455869411975374,0.459528327485031,0.435563877572062,0.570299990397204,0.136892297674608,1.07417676341918,0.0630527356929483,0.681256747308739,0.239066723725318,0.688691540611528,0.37991461159761,0.861347236016275,0.466827024269764,0.151993681976882,0.165418485495053,0.0933905722294263,0.105017544736408,0.0883177589242975,0.0904239691759264,0.214893025603149,0.181685386473934,0.229057614068915,0.213021228421585,0.280768015177718,0.099513801112544,0.104839327478721,0.13391555232815
"UDP-glucose",0.00253764621005083,0.0025514081062043,0.00385904584797341,0.0036945091134771,0.00176549095417943,0.00165323722970709,0.00563234646532388,0.00169767786919663,0.00479844271103089,0.00187416372874565,0.00404253895218616,0.00138798884750852,0,0,0,0,0.00152495670708102,0.00164415045236039,0.00303299966704017,0.000756496689626516,0.00164122658046863,0.000633960456950246,0,0,0.00190631517532537,0.00165542818862773,0.00745867798756286,0.0015311562257342,0.00263469933284962,0.000812167074225956,0.00274277473352376,0.000862003237677853,0.00441679147741786,0.00079208847775122,0.00296352532103763,0.00158814246778953,0.000633345136720725,0.000575082217705511,0.000953321761534656,0.000896305990479939,0.00145603671006951,0.000517114870471689,0.000597275003444396,0.000517895410263416,0.000583501302700548,0.000666726864046498,0.00112241402849242,0.00015557007314323
"adenine pos",0,0,0,0,0,0,0.000881527624602692,0.000776916495920306,0.00105625766494601,0.000958740433932571,0.000932536923532372,0.000810845415577971,0,0,0,0,0,0,0.00185591368417045,0.000450200408145836,0.00076455675810981,0.00074404870748148,0.000850788132903931,0.000737083114260365,0.000959118286062118,0.000263757685884538,0.0021445883717573,0.000526619549772162,0.00120108524266984,0.00104017230134427,0.00081960188181496,0.000710388186278654,0.00230430747480826,0.000253750836605187,0.0013048718793463,0.00137471298668725,0.000752928660025626,0.000112522413786812,0.00102219087587595,0.000781739670340209,0.00168164375866808,8.73422141680705e-05,0.00127979631439098,0.000689445788089685,0.000654031406490919,9.12304240268944e-05,0.00109243843639722,0.000402483243344284
"adenosine 5'-monophosphate pos",0.0152770821919339,0.0133158593602086,0.0146118694366753,0.0128307736613657,0.0319022176246995,0.0114435730529666,0.020116595410519,0.00435797051797384,0.020435406228063,0.00442650763093822,0.0133549643855352,0.0037086286576137,0.0114218128831884,0.00295922183285991,0.00904459936717562,0.00244474662747642,0.00991366422745522,0.00534055379535226,0.020686899719313,0.00787368466718592,0.00670026121169677,0.00586691267903164,0.0301695261630118,0.0109466913415164,0.0220922935736657,0.0214754129694503,0.0581382117862486,0.0157846221430694,0.0419510889107662,0.0208443240039379,0.0144506847421826,0.0126708250753708,0.0510041547592447,0.0430622408282714,0.0256507483100436,0.00577636535404331,0.00606109321810853,0.00686464134636813,0.00982654088905462,0.010890609061048,0.0210386270389704,0.00592208893887751,0.0147887377633293,0.00234066959825885,0.015285176844171,0.0091390418790978,0.0369635625214899,0.00621560995097677
