rowID,mtabName,goodMtab
1,3-methyl-2-oxobutanoic acid MQ original,1
2,4-hydroxybenzoic acid MQ original,1
3,MTA MQ original,1
4,NAD MQ original,0
5,NAD MM original,0
6,NAD MQ df10x,1
7,NADP MQ original,1
8,T_90to30 MQ original,1
9,T_90to62 MQ original,1
10,UDP-glucose MQ original,1
11,adenine pos MQ original,1
12,adenosine 5'-monophosphate pos MQ original,0
13,adenosine 5'-monophosphate pos MQ df10x,1
14,alpha-ketoglutaric acid MQ original,1
15,aspartic acid neg MQ original,1
16,caffeine MQ original,0
17,citric acid MQ original,1
18,citrulline MQ original,1
19,cytidine pos MQ original,1
20,cytosine MQ original,1
21,desthiobiotin MQ original,1
22,fructose 1_6-bisphosphate MQ original,0
23,glutamic acid neg MQ original,0
24,glutamic acid neg MQ df10x,0
25,glutamic acid neg MQ df500x,1
26,glutamic acid pos MQ original,0
27,glutamic acid pos MQ df10x,0
28,glutamic acid pos MQ df500x,0
29,glutamine MM original,0
30,glutamine MQ df10x,1
31,glutamine MQ df500x,0
32,glutathione oxidized MQ original,0
33,glutathione oxidized MQ df10x,1
34,glutathione pos MQ original,1
35,guanine MQ original,1
36,guanosine pos MQ original,1
37,guanosine pos MM original,0
38,hemin MQ original,0
39,hexose-6-phosphate MQ original,1
40,homocysteine MQ original,0
41,inosine 5-monophosphate pos MQ original,1
42,isoleucine MQ original,1
43,isoleucine MM original,0
44,kynurenine MQ original,1
45,leucine MQ original,1
46,leucine MM original,0
47,lumichrome MQ original,1
48,methionine MQ original,1
49,methionine MM original,0
50,n-acetylglucosamine204 MQ original,1
51,n-acetylglutamic acid MQ original,0
52,n-acetylglutamic acid MM original,0
53,n-acetylglutamic acid MQ df10x,1
54,niacin MQ original,0
55,niacin MM original,0
56,nicotinamide MQ original,1
57,pantothenic acid neg MQ original,1
58,phenylalanine MQ original,1
59,proline MQ original,1
60,proline MM original,0
61,s-(5'-adenosyl)-L-homocysteine pos MQ original,1
62,s-(5'-adenosyl)-L-homocysteine pos MM original,0
63,s-adenosyl-l-methionine MQ original,0
64,s-adenosyl-l-methionine MM original,0
65,s-adenosyl-l-methionine MQ df10x,1
66,spermidine MM original,1
67,succinic acid MQ original,1
68,sucrose pos MQ original,0
69,sucrose387 neg MQ original,0
70,sucrose387 neg MQ df10x,0
71,sucrose387 neg MQ df500x,1
72,tetrahydrobiopterin240 MQ original,1
73,tetrahydrobiopterin240 MM original,0
74,threonine (isom. homoserine) MM original,1
75,thymidine MQ original,1
76,tryptophan MQ original,1
77,tryptophan MM original,0
78,tyrosine MQ original,1
79,tyrosine MM original,0
80,uracil MQ original,0
81,uridine 5-monophosphate pos MQ original,1
82,uridine 5-monophosphate pos MM original,0
83,valine MQ original,0
84,valine MM original,0
85,xanthosine neg MQ original,1
