"","Sample.Name","replicateID.x","label","timepoint.x","date_time","mtabName","quantType","dilution_factor","combined_mtab_ID","r2_line","n_timepoints","Concentration_ngmL","df_adjusted_ngmL","mean_blank","blank_adj_concentration","Blank_adj_concentration_ngmL_inSample","Blank_adj_concentration_inSample_nM","cellNorm_blank_adj_concen_inSample_agCell","rain_pVal","rain_phase","rain_peak.shape","rain_period","isRAINsig","LR_pVal","LR_rSquared","LR_slope","isLRsig"
"1","3_RP_filter_A_T0_DF10X","A","0A",0,2022-07-28 10:00:00,"glutamine","MQ","df10x","glutamine MQ df10x",0.996372947529935,22,0,0,0,0,0,0,0,0.0630679320986568,12,18,24,0,0.204120552622724,0.0229354757690122,-0.131049678237496,0
"2","3_RP_filter_A_T0_DF10X","A","0A",0,2022-07-28 10:00:00,"adenosine 5'-monophosphate pos","MQ","df10x","adenosine 5'-monophosphate pos MQ df10x",0.99173276805267,24,6.534227279043,65.34227279043,65.34227279043,0,0,0,0,1.85138040265035e-08,6,10,24,1,0.264300000881811,0.0177689759101211,0.166948829372144,0
"3","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"3-methyl-2-oxobutanoic acid","MQ","original","3-methyl-2-oxobutanoic acid MQ original",0.996791556627532,21,2.82632886536225,2.82632886536225,0,2.82632886536225,0.0274870542418331,0.199037322533187,3.11214138386908,0.000670471301658057,16,12,24,1,0.197585306216503,0.0236028430269088,0.0102829807751837,0
"4","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"guanine","MQ","original","guanine MQ original",0.991241977866956,16,0,0,0,0,0,0,0,0.9999975852081,10,6,24,0,0.761276746459022,0.00132710114971849,0.00247901821440256,0
"5","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"guanosine pos","MQ","original","guanosine pos MQ original",0.999234170182166,24,0.22906289485762,0.22906289485762,0.0807030670266593,0,0,0,0,0.0207147332965842,8,6,24,1,0.206196357758745,0.0227286546712215,0.000519545960654279,0
"6","3_RP_filter_A_T0_DF10X","A","0A",0,2022-07-28 10:00:00,"glutathione oxidized","MQ","df10x","glutathione oxidized MQ df10x",0.976208939127493,24,38.2000722399333,382.000722399333,295.515202290471,86.485520108862,0.84110246740899,1.37293711931996,21.4672020910713,5.46970877766522e-09,10,12,24,1,0.0744224789066405,0.0447589332959028,1.37588151005958,0
"7","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"glutathione pos","MQ","original","glutathione pos MQ original",0.98510047956785,20,16.3500089075078,16.3500089075078,11.0312188422675,0,0,0,0,0.000839380368363877,12,6,24,1,0.000464923444128181,0.161595953535665,0.70831385473409,1
"8","3_RP_filter_A_T0_DF10X","A","0A",0,2022-07-28 10:00:00,"n-acetylglutamic acid","MQ","df10x","n-acetylglutamic acid MQ df10x",0.997841713813574,24,12.4330356264734,124.330356264734,50.2558639152695,74.0744923494645,0.720400804767997,3.80821908742399,59.5451951924053,0.00177910309320629,12,10,24,1,0.16290968019825,0.0276245677775954,0.742805546158466,0
"9","3_RP_filter_A_T0_DF10X","A","0A",0,2022-07-28 10:00:00,"NAD","MQ","df10x","NAD MQ df10x",0.994288810881299,24,30.0882219638777,300.882219638777,300.882219638777,0,0,0,0,6.88174311421574e-10,12,12,24,1,0.215726656562131,0.0218092153085314,0.171411890689383,0
"10","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"hexose-6-phosphate","MQ","original","hexose-6-phosphate MQ original",0.996909277100403,19,1.98721203088225,1.98721203088225,2.43376922604685,0,0,0,0,0.0127698523927775,10,8,24,1,0.722985760365963,0.00180622962643505,0.00087165896476693,0
"11","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"4-hydroxybenzoic acid","MQ","original","4-hydroxybenzoic acid MQ original",0.998866482032652,21,0.918044062808626,0.918044062808626,0,0.918044062808626,0.00892830528678738,0.0646416542628684,1.01073489530933,6.13374615921615e-05,10,14,24,1,0.000339628648381781,0.168642967040449,-0.00609609227219012,1
"12","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"citrulline","MQ","original","citrulline MQ original",0.996463383987858,24,0,0,0,0,0,0,0,1.2445326039544e-09,12,14,24,1,0.546361954000382,0.00522177957202121,0.0133460295231317,0
"13","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"cytidine pos","MQ","original","cytidine pos MQ original",0.99834267919947,24,1.71887643818019,1.71887643818019,0,0,0,0,0,1.9134655552702e-09,10,12,24,1,0.207879962890191,0.0225626756746138,-0.0309163355947428,0
"14","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"cytosine","MQ","original","cytosine MQ original",0.998695224686736,11,0,0,0,0,0,0,0,1,12,6,24,0,4.82395780535626e-06,0.259731988116063,0.00722000590227308,1
"15","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"desthiobiotin","MQ","original","desthiobiotin MQ original",0.999988888265056,12,0,0,0,0,0,0,0,0.00360594552745469,10,8,24,1,0.923206569326018,0.000133686403497989,8.19596108525018e-05,0
"16","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"spermidine","MM","original","spermidine MM original",0.871885188537717,14,0,0,0,0,0,0,0,0.999999999965454,10,6,24,0,2.69092556089608e-06,0.271553578515262,0.795690757589424,1
"17","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"threonine (isom. homoserine)","MM","original","threonine (isom. homoserine) MM original",0.90162151276754,13,0,0,0,0,0,0,0,0.999999999999998,8,6,24,0,0.061351262300445,0.0491164848431755,2.2805120770656,0
"18","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"phenylalanine","MQ","original","phenylalanine MQ original",0.999612837799534,24,5.95892388220818,5.95892388220818,1.28242787532613,4.67649600688205,0.0454805882564581,0.275322890347225,4.30494014926863,4.88122008181451e-11,10,16,24,1,0.0104477240683733,0.090023359704463,-0.0401835679446262,1
"19","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"proline","MQ","original","proline MQ original",0.995437210706399,24,0,0,0,0,0,0,0,0.00184172083923247,4,14,24,1,0.234498635360995,0.0201300387363181,-0.123306350061881,0
"20","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"s-(5'-adenosyl)-L-homocysteine pos","MQ","original","s-(5'-adenosyl)-L-homocysteine pos MQ original",0.994828985142145,24,0.99185345757446,0.99185345757446,0.645069092254485,0,0,0,0,3.57482306996061e-06,4,18,24,1,0.408945569150124,0.00976271481248913,-0.00185117722305494,0
"21","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"adenine pos","MQ","original","adenine pos MQ original",0.974485231736213,18,0,0,0,0,0,0,0,0.999999952406282,10,6,24,0,0.000212341445644036,0.179106122178472,0.0251601722760289,1
"22","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"alpha-ketoglutaric acid","MQ","original","alpha-ketoglutaric acid MQ original",0.996373754795592,13,0,0,0,0,0,0,0,0.999999999997642,10,6,24,0,0.255336321865806,0.0184439088040578,0.0678566226067568,0
"23","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"aspartic acid neg","MQ","original","aspartic acid neg MQ original",0.999191010493507,18,1.43292606093836,1.43292606093836,0,0,0,0,0,0.999956317746745,10,16,24,0,0.793903476926343,0.00098149229697724,0.00783446771114922,0
"24","3_RP_filter_A_T0_DF10X","A","0A",0,2022-07-28 10:00:00,"s-adenosyl-l-methionine","MQ","df10x","s-adenosyl-l-methionine MQ df10x",0.954517832641744,24,23.023108470494,230.23108470494,217.090548895197,0,0,0,0,0.000307297787163179,6,12,24,1,0.956996563862371,4.1835205402955e-05,-0.00252119484284449,0
"25","3_RP_filter_A_T0_DF500X","A","0A",0,2022-07-28 10:00:00,"glutamic acid neg","MQ","df500x","glutamic acid neg MQ df500x",0.95713219426349,24,0,0,0,0,0,0,0,0.000101536215005136,10,6,24,1,0.0105755717443562,0.0897400308537861,271.659746997047,1
"26","3_RP_filter_A_T0_DF500X","A","0A",0,2022-07-28 10:00:00,"sucrose387 neg","MQ","df500x","sucrose387 neg MQ df500x",0.998306302694827,21,0,0,0,0,0,0,0,2.20087323702796e-19,12,14,24,1,0.415125524850398,0.00950921089547059,14.8516456311456,0
"27","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"tyrosine","MQ","original","tyrosine MQ original",0.999879954616746,24,6.05258449097203,6.05258449097203,1.88659233073926,4.16599216023277,0.0405157566349565,0.223609231386702,3.49634698636824,2.15908302910301e-07,10,12,24,1,0.3009416916293,0.0152774790864839,-0.030669140817401,0
"28","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"UDP-glucose","MQ","original","UDP-glucose MQ original",0.994904185641789,21,0,0,0,0,0,0,0,0.000624356867316913,4,18,24,1,0.0211946251516687,0.0735616032417874,-0.0431053657900931,1
"29","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"uridine 5-monophosphate pos","MQ","original","uridine 5-monophosphate pos MQ original",0.998822078816997,24,5.24386247101852,5.24386247101852,0,5.24386247101852,0.0509984290731592,0.138526223205648,2.16599171704341,3.21991504767415e-18,4,14,24,1,0.0697251061210879,0.0462255665386186,-0.0319173804964132,0
"30","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"xanthosine neg","MQ","original","xanthosine neg MQ original",0.999211849571895,13,0,0,0,0,0,0,0,0.014715980719142,4,14,24,1,0.96146218707577,3.35914376108158e-05,-2.39326941887582e-05,0
"31","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"pantothenic acid neg","MQ","original","pantothenic acid neg MQ original",0.999469507739185,21,0,0,0,0,0,0,0,0.0427361065370099,10,14,24,1,0.0587081983547016,0.0501150936330056,0.00111737759158576,0
"32","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"kynurenine","MQ","original","kynurenine MQ original",0.999705423078898,12,0,0,0,0,0,0,0,0.999999999999874,10,14,24,0,0.226237519401653,0.0208487270478438,0.000655217405060128,0
"33","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"leucine","MQ","original","leucine MQ original",0.998189871305684,24,3.61453001522503,3.61453001522503,0.616383076216835,2.9981469390082,0.0291580461663444,0.222292034507467,3.47575133693727,0.126736988302418,10,16,24,0,0.295123487588664,0.0156469664667905,-0.0151397827333421,0
"34","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"inosine 5-monophosphate pos","MQ","original","inosine 5-monophosphate pos MQ original",0.993768963842998,21,0,0,0,0,0,0,0,1.32654614920799e-05,6,8,24,1,0.248319968699133,0.0189925916007248,0.0590303881266993,0
"35","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"isoleucine","MQ","original","isoleucine MQ original",0.999160181657184,24,4.02829422111612,4.02829422111612,0.873526854086965,3.15476736702916,0.0306812355775807,0.23390436515652,3.65732137775243,6.13604097004068e-08,10,6,24,1,0.0253058021648195,0.0694489135365775,-0.0401633221140842,1
"36","3_RP_filter_A_T0","A","0A",0,2022-07-28 10:00:00,"MTA","MQ","original","MTA MQ original",0.996150100661098,24,1.82736682913353,1.82736682913353,1.20729527863838,0,0,0,0,3.92697259359252e-09,6,16,24,1,0.45725929534217,0.00791924046541766,-0.00180348588297245,0
